@relation mean_amplitude
@attribute ch_0 REAL
@attribute ch_1 REAL
@attribute ch_2 REAL
@attribute ch_3 REAL
@attribute ch_4 REAL
@attribute ch_5 REAL
@attribute ch_6 REAL
@attribute ch_7 REAL
@attribute ch_8 REAL
@attribute ch_9 REAL
@attribute ch_10 REAL
@attribute ch_11 REAL
@attribute ch_12 REAL
@attribute ch_13 REAL
@attribute ch_14 REAL
@attribute ch_15 REAL
@attribute ch_16 REAL
@attribute ch_17 REAL
@attribute ch_18 REAL
@attribute ch_19 REAL
@attribute ch_20 REAL
@attribute ch_21 REAL
@attribute ch_22 REAL
@attribute ch_23 REAL
@attribute ch_24 REAL
@attribute ch_25 REAL
@attribute ch_26 REAL
@attribute ch_27 REAL
@attribute ch_28 REAL
@attribute ch_29 REAL
@attribute ch_30 REAL
@attribute ch_31 REAL
@attribute orientation_classes {0,45,90,180,135,225,315,270}
@data
11.63,0.00,0.00,0.00,5.16,8.90,0.00,11.50,3.11,14.03,0.00,0.00,0.00,0.00,19.50,6.01,9.14,12.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.89,0.00,0.00,0.00,11.27,90
17.16,32.92,0.00,0.00,11.75,13.80,32000.00,20.35,12.21,25.38,0.00,0.00,0.00,0.00,3.90,2.06,11.54,20.68,0.00,0.00,0.00,0.00,0.00,0.00,5.41,0.00,6.59,14.39,0.00,0.00,0.00,22.02,135
45.19,2.56,21.90,1.74,29.99,25.81,0.00,25.98,24.47,36.21,15.79,0.00,0.00,0.00,11.62,7.88,12.06,16.14,0.00,0.00,22.77,1.69,0.00,0.00,2.71,6.65,1.91,13.75,0.97,10.02,0.00,18.32,45
23.14,0.00,0.00,0.00,25.84,20.79,0.00,12.78,18.43,25.96,0.00,0.00,0.00,0.00,3.17,4.04,8.39,12.12,0.00,0.00,0.00,2.40,0.00,0.00,1.61,0.00,1.52,7.09,0.00,0.00,0.00,12.51,45
15.34,0.00,0.00,0.00,12.91,12.80,0.00,12.05,11.65,17.54,0.00,0.00,0.00,0.00,10.75,6.28,2.86,7.62,0.00,0.00,0.00,2.25,0.00,0.00,3.38,0.00,7.42,3.58,0.00,0.00,0.00,10.76,45
22.67,1.83,0.00,0.00,10.19,14.47,0.00,19.81,11.22,33.07,0.00,18.60,0.00,0.00,3.58,5.02,16.11,22.68,0.00,0.00,0.00,0.00,0.00,0.00,2.28,1.59,0.00,11.17,32000.00,0.88,0.00,20.54,90
28.85,2.76,0.00,0.99,18.18,20.34,0.00,22.84,16.12,32.13,0.00,0.89,0.00,0.00,4.25,3.01,7.49,11.15,0.00,0.00,0.00,0.00,0.00,0.00,3.10,0.00,0.00,2.85,0.00,0.00,0.00,12.53,180
31.89,0.00,0.00,0.00,13.53,14.73,0.00,11.53,11.65,18.65,0.00,0.00,0.00,0.00,10.27,5.99,3.23,7.88,0.00,0.00,0.00,0.00,0.00,0.00,4.83,0.00,1.54,6.01,0.00,0.00,0.00,7.74,225
21.79,4.05,0.00,1391.30,25.80,19.26,0.00,16.44,15.07,25.06,0.00,0.00,0.00,3.69,2.19,21333.33,4.74,9.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.85,0.00,0.00,0.00,11.05,180
12.99,0.00,0.00,0.00,9.41,10.89,0.00,12.81,8.13,14.39,0.00,0.00,0.00,0.00,7.99,7.68,6.14,7.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.97,0.00,0.00,0.00,5.60,180
24.34,2.72,0.00,1.75,13.79,11.82,0.00,24.81,11.36,34.27,107.38,0.00,0.00,0.00,5.46,4.14,12.69,31.65,0.00,0.00,0.00,0.00,0.00,0.00,1.99,11.80,2.49,19.92,21333.33,0.00,0.00,24.89,270
23.37,22.65,0.00,21.88,20.12,18.31,0.00,18.60,16.74,22.88,1500.00,0.00,0.00,0.00,6.07,2.30,6.93,12.43,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,6.45,0.00,0.00,0.00,14.79,180
11.50,0.00,0.00,0.00,7.66,4.38,0.00,11.00,8.03,18.49,0.00,0.00,0.00,0.00,2.01,2.52,7.31,12.36,0.00,0.00,0.00,0.00,0.00,0.00,3.22,1.00,3.89,5.13,0.00,0.00,0.00,13.13,270
26.84,1.58,0.00,0.00,23.89,22.84,0.00,23.88,18.83,26.52,0.00,0.00,0.00,0.00,11.80,3.21,3.95,8.90,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,1.18,3.50,0.00,0.00,0.00,9.89,225
9.66,0.00,0.00,0.00,7.31,10.05,0.00,9.75,5.53,12.49,0.00,0.00,0.00,0.00,233.58,68.30,5.48,8.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.06,0.00,0.00,0.00,10.72,135
19.55,0.00,0.00,0.00,15.50,14.71,0.00,20.81,15.63,20.61,0.00,0.00,0.00,0.00,17.80,15.90,6.61,9.41,0.00,0.00,2.22,10.00,0.00,0.00,7.00,0.00,0.00,6.39,16.56,0.00,0.00,11.00,225
23.43,39.60,1.53,1.83,15.08,12.10,0.00,22.36,10.95,36.46,0.00,2.02,0.00,0.00,4.39,2.58,9.36,22.99,0.00,0.00,0.00,0.84,0.00,0.00,2.93,0.00,2.41,13.75,0.00,0.00,0.00,17.14,270
17.09,1.43,0.00,0.00,14.95,10.73,0.00,15.93,12.18,29.71,0.00,0.00,0.00,0.00,2.13,2.24,6.89,20.64,0.00,0.00,0.00,0.00,0.00,0.00,2.95,0.00,12.46,7.65,0.00,0.00,0.00,19.96,270
